0.1	0.0166921	50.3886	2535.2
0.101159	0.0168658	49.7606	2446.88
0.102332	0.0174955	50.4493	2424.6
0.103518	0.01816	51.1809	2404.07
0.104718	0.01867	51.4271	2360.95
0.105931	0.019159	51.5791	2314.37
0.107159	0.0195642	51.4786	2257.56
0.108401	0.019706	50.6784	2172.21
0.109658	0.0198587	49.9161	2091.11
0.110929	0.0206966	50.8463	2081.9
0.112215	0.0217186	52.1499	2087.01
0.113515	0.022786	53.4759	2091.7
0.114831	0.0238986	54.8198	2095.8
0.116162	0.0251087	56.2935	2103.5
0.117509	0.0265579	58.1974	2125.51
0.118871	0.0280953	60.1758	2148.12
0.120249	0.0301454	63.1073	2201.9
0.121642	0.0323834	66.2629	2259.77
0.123052	0.0349134	69.8265	2327.55
0.124479	0.0376874	73.6734	2400.36
0.125922	0.0408148	77.9853	2483.49
0.127381	0.0442956	82.7268	2575.01
0.128858	0.0483636	88.2859	2686.14
0.130351	0.0531291	94.8001	2819.21
0.131862	0.058034	101.215	2942.19
0.133391	0.063002	107.403	3051.72
0.134937	0.0682328	113.701	3157.71
0.136501	0.0737033	120.049	3258.93
0.138083	0.079115	125.96	3342.46
0.139684	0.0843811	131.321	3406.28
0.141303	0.0899423	136.823	3469.02
0.14294	0.0958759	142.569	3533.39
0.144597	0.101675	147.792	3580.26
0.146273	0.107676	152.998	3622.99
0.147969	0.115425	160.315	3711.14
0.149684	0.124073	168.45	3811.61
0.151419	0.134517	178.53	3948.91
0.153174	0.145284	188.486	4075.6
0.15495	0.155851	197.657	4178.07
0.156746	0.165401	205.052	4236.94
0.158562	0.174569	211.559	4273.34
0.1604	0.188788	223.66	4416.35
0.16226	0.206321	238.956	4612.54
0.16414	0.229811	260.192	4909.85
0.166043	0.259204	286.895	5292.45
0.167967	0.294209	318.345	5741.08
0.169914	0.335431	354.819	6255.58
0.171884	0.387885	401.122	6913.58
0.173876	0.454125	459.115	7736.08
0.175892	0.528328	522.188	8602.06
0.17793	0.61401	593.307	9555.12
0.179993	0.713603	674.131	10614.2
0.182079	0.846084	781.433	12028.9
0.18419	0.999526	902.541	13582.9
0.186325	1.17777	1039.75	15298.7
0.188484	1.37877	1190.05	17119.6
0.190669	1.6257	1371.9	19295.7
0.192879	1.94132	1601.74	22026.4
0.195115	2.37442	1915.45	25753.7
0.197376	3.05239	2407.56	31649.8
0.199664	4.17996	3223.58	41434.2
0.201979	6.34605	4785.25	60139.4
0.20432	11.356	8372.7	102887
0.206688	18.3569	13233.8	159010
0.209084	11.1398	7852.63	92258.5
0.211507	6.23691	4298.95	49386.7
0.213959	4.07636	2747.43	30863
0.216439	2.96133	1951.69	21438.3
0.218948	2.27851	1468.42	15772.7
0.221486	1.87452	1181.33	12408.2
0.224053	1.63593	1008.17	10355.2
0.22665	1.46851	884.998	8889.2
0.229277	1.3187	777.162	7633.67
0.231935	1.1944	688.373	6612.34
0.234623	1.1367	640.673	6018.42
0.237342	1.09114	601.442	5525.4
0.240093	1.0383	559.715	5028.83
0.242876	0.955217	503.597	4425.08
0.245692	0.874785	451.052	3876.24
0.248539	0.803549	405.221	3405.88
0.25142	0.733059	361.56	2972.21
0.254335	0.672451	324.393	2608.2
0.257283	0.614177	289.789	2278.92
0.260265	0.563046	259.848	1998.72
0.263282	0.537297	242.541	1824.8
0.266333	0.517297	228.41	1680.93
0.26942	0.498176	215.165	1548.88
0.272543	0.479551	202.603	1426.65
0.275702	0.443406	183.25	1262.26
0.278898	0.418057	169.013	1138.85
0.282131	0.421005	166.504	1097.54
0.285401	0.416945	161.316	1040.25
0.288709	0.393194	148.826	938.882
0.292056	0.364151	134.845	832.244
0.295441	0.336097	121.762	735.227
0.298865	0.316813	112.293	663.389
0.302329	0.307026	106.474	615.422
0.305834	0.300275	101.886	576.196
0.309379	0.28882	95.8869	530.585
0.312965	0.27444	89.1519	482.7
0.316592	0.269817	85.7659	454.385
0.320262	0.270335	84.0858	435.92
0.323974	0.271153	82.5317	418.69
0.327729	0.267006	79.5293	394.82
0.331528	0.260863	76.0384	369.419
0.335371	0.258768	73.8171	350.97
0.339258	0.254059	70.9285	330.045
0.343191	0.245916	67.1936	306.009
0.347169	0.236502	63.2474	281.915
0.351193	0.241988	63.3409	276.339
0.355263	0.241769	61.9423	264.51
0.359381	0.235336	59.0185	246.692
0.363547	0.229198	56.2648	230.214
0.367761	0.224679	53.992	216.256
0.372024	0.225532	53.0559	208.032
0.376336	0.228903	52.7171	202.359
0.380698	0.239191	53.9306	202.674
0.385111	0.249222	55.0154	202.421
0.389575	0.255733	55.2724	199.114
0.39409	0.254027	53.7582	189.619
0.398658	0.251001	52.0114	179.637
0.403279	0.260967	52.9523	179.085
0.407953	0.278348	55.3073	183.169
0.412682	0.296605	57.7148	187.185
0.417466	0.33044	62.97	200.009
0.422304	0.388072	72.4278	225.307
0.427199	0.492265	89.9835	274.16
0.432151	0.694483	124.342	371.065
0.43716	1.53326	268.895	786.009
0.442227	6.04739	1038.88	2974.71
0.447353	0.916969	154.314	432.85
0.452539	0.457501	75.4254	207.264
0.457784	0.280824	45.3582	122.112
0.46309	0.192437	30.4529	80.3248
0.468458	0.139896	21.6913	56.0593
0.473888	0.10338	15.7065	39.7745
0.479381	0.0784483	11.6792	28.9817
0.484937	0.0631434	9.21225	22.4021
0.490558	0.052533	7.51111	17.9003
0.496244	0.0441705	6.18957	14.4569
0.501997	0.0366992	5.04043	11.5389
0.507815	0.0310409	4.17881	9.37689
0.513701	0.026907	3.55071	7.81009
0.519656	0.0239565	3.09907	6.68237
