#Displacement noise coupling G: Multiply G with the displacement noise spectrum of each mirror in m/sqrt(Hz) to get the strain equivalent DARM noise.
#freq,ETMX,ETMY,ITMX,ITMY,BS,PRM,SRM
0.23899,0.00034372,0.00032295,0.00081108,0.00014593,0.00065639,3.2192e-06,0.00093301
0.24232,0.00034375,0.00032292,0.00081244,0.00014729,0.00065826,3.2288e-06,0.00093567
0.24569,0.00034378,0.00032289,0.00081384,0.0001487,0.00066019,3.2387e-06,0.00093841
0.24911,0.00034381,0.00032286,0.0008153,0.00015016,0.00066219,3.2489e-06,0.00094125
0.25258,0.00034384,0.00032282,0.0008168,0.00015166,0.00066426,3.2595e-06,0.00094419
0.2561,0.00034388,0.00032279,0.00081836,0.00015322,0.0006664,3.2705e-06,0.00094723
0.25967,0.00034391,0.00032276,0.00081997,0.00015483,0.00066861,3.2819e-06,0.00095037
0.26328,0.00034395,0.00032272,0.00082164,0.00015651,0.0006709,3.2936e-06,0.00095362
0.26695,0.00034398,0.00032268,0.00082337,0.00015823,0.00067327,3.3058e-06,0.00095699
0.27067,0.00034402,0.00032264,0.00082515,0.00016003,0.00067573,3.3185e-06,0.00096048
0.27443,0.00034406,0.0003226,0.000827,0.00016188,0.00067827,3.3316e-06,0.00096409
0.27826,0.0003441,0.00032256,0.00082892,0.0001638,0.00068091,3.3452e-06,0.00096784
0.28213,0.00034415,0.00032252,0.00083091,0.00016579,0.00068364,3.3593e-06,0.00097171
0.28606,0.00034419,0.00032247,0.00083297,0.00016786,0.00068647,3.3739e-06,0.00097573
0.29004,0.00034424,0.00032243,0.00083511,0.00016999,0.0006894,3.3891e-06,0.0009799
0.29408,0.00034429,0.00032238,0.00083732,0.00017221,0.00069244,3.4049e-06,0.00098422
0.29818,0.00034434,0.00032233,0.00083962,0.00017451,0.0006956,3.4213e-06,0.0009887
0.30233,0.00034439,0.00032228,0.000842,0.0001769,0.00069887,3.4383e-06,0.00099335
0.30654,0.00034444,0.00032223,0.00084447,0.00017938,0.00070227,3.456e-06,0.00099818
0.31081,0.0003445,0.00032217,0.00084704,0.00018195,0.00070579,3.4744e-06,0.0010032
0.31514,0.00034456,0.00032211,0.00084971,0.00018462,0.00070946,3.4935e-06,0.0010084
0.31952,0.00034462,0.00032205,0.00085248,0.0001874,0.00071326,3.5134e-06,0.0010138
0.32397,0.00034468,0.00032199,0.00085536,0.00019028,0.00071722,3.5341e-06,0.0010194
0.32849,0.00034474,0.00032192,0.00085836,0.00019328,0.00072133,3.5557e-06,0.0010253
0.33306,0.00034481,0.00032185,0.00086147,0.0001964,0.00072561,3.5782e-06,0.0010313
0.3377,0.00034488,0.00032178,0.00086471,0.00019965,0.00073006,3.6016e-06,0.0010377
0.3424,0.00034495,0.00032171,0.00086808,0.00020303,0.00073469,3.626e-06,0.0010442
0.34717,0.00034503,0.00032163,0.0008716,0.00020655,0.00073952,3.6515e-06,0.0010511
0.352,0.00034511,0.00032156,0.00087526,0.00021021,0.00074454,3.6781e-06,0.0010582
0.3569,0.0003452,0.00032147,0.00087908,0.00021403,0.00074978,3.7059e-06,0.0010657
0.36187,0.00034528,0.00032139,0.00088305,0.00021802,0.00075525,3.7349e-06,0.0010734
0.36691,0.00034537,0.0003213,0.0008872,0.00022217,0.00076095,3.7652e-06,0.0010815
0.37202,0.00034547,0.0003212,0.00089154,0.00022652,0.0007669,3.797e-06,0.00109
0.3772,0.00034556,0.0003211,0.00089606,0.00023105,0.00077311,3.8302e-06,0.0010988
0.38246,0.00034567,0.000321,0.00090079,0.00023579,0.00077961,3.865e-06,0.0011081
0.38778,0.00034577,0.00032089,0.00090574,0.00024074,0.0007864,3.9015e-06,0.0011177
0.39318,0.00034589,0.00032078,0.00091092,0.00024592,0.00079351,3.9397e-06,0.0011278
0.39866,0.000346,0.00032066,0.00091634,0.00025135,0.00080095,3.9799e-06,0.0011384
0.40421,0.00034613,0.00032054,0.00092202,0.00025704,0.00080875,4.0221e-06,0.0011494
0.40984,0.00034626,0.00032041,0.00092797,0.00026301,0.00081692,4.0665e-06,0.0011611
0.41555,0.00034639,0.00032028,0.00093422,0.00026926,0.0008255,4.1132e-06,0.0011733
0.42133,0.00034653,0.00032013,0.00094078,0.00027584,0.00083451,4.1624e-06,0.0011861
