#Displacement noise coupling G: Multiply G with the displacement noise spectrum of each mirror in m/sqrt(Hz) to get the strain equivalent DARM noise.
#freq,ETMX,ETMY,ITMX,ITMY,BS,PRM,SRM
0.23247,0.00034081,0.00032586,0.0006772,1.1756e-05,0.00037576,7.0686e-05,0.00060331
0.23571,0.00034083,0.00032583,0.00067829,1.2843e-05,0.00037669,7.1101e-05,0.00060503
0.23899,0.00034086,0.00032581,0.00067942,1.397e-05,0.00037764,7.1531e-05,0.0006068
0.24232,0.00034088,0.00032578,0.00068059,1.5136e-05,0.00037863,7.1977e-05,0.00060864
0.24569,0.00034091,0.00032576,0.0006818,1.6343e-05,0.00037965,7.244e-05,0.00061054
0.24911,0.00034094,0.00032573,0.00068305,1.7595e-05,0.0003807,7.2921e-05,0.00061251
0.25258,0.00034097,0.0003257,0.00068435,1.8889e-05,0.00038179,7.3421e-05,0.00061455
0.2561,0.00034099,0.00032567,0.00068569,2.0229e-05,0.00038291,7.394e-05,0.00061666
0.25967,0.00034102,0.00032564,0.00068709,2.1617e-05,0.00038408,7.448e-05,0.00061884
0.26328,0.00034106,0.00032561,0.00068853,2.3058e-05,0.00038528,7.5042e-05,0.0006211
0.26695,0.00034109,0.00032558,0.00069003,2.4553e-05,0.00038652,7.5626e-05,0.00062344
0.27067,0.00034112,0.00032555,0.00069158,2.6099e-05,0.00038781,7.6234e-05,0.00062586
0.27443,0.00034116,0.00032551,0.00069319,2.7707e-05,0.00038914,7.6867e-05,0.00062838
0.27826,0.00034119,0.00032547,0.00069486,2.9371e-05,0.00039052,7.7526e-05,0.00063098
0.28213,0.00034123,0.00032544,0.00069659,3.11e-05,0.00039195,7.8214e-05,0.00063368
0.28606,0.00034127,0.0003254,0.00069839,3.2895e-05,0.00039343,7.893e-05,0.00063649
0.29004,0.00034131,0.00032536,0.00070026,3.476e-05,0.00039496,7.9677e-05,0.00063939
0.29408,0.00034135,0.00032532,0.00070221,3.6697e-05,0.00039655,8.0456e-05,0.00064241
0.29818,0.00034139,0.00032527,0.00070423,3.871e-05,0.00039819,8.127e-05,0.00064554
0.30233,0.00034144,0.00032523,0.00070633,4.0805e-05,0.00039989,8.212e-05,0.00064879
0.30654,0.00034149,0.00032518,0.00070851,4.298e-05,0.00040166,8.3009e-05,0.00065217
0.31081,0.00034154,0.00032513,0.00071078,4.5246e-05,0.00040349,8.3938e-05,0.00065568
0.31514,0.00034159,0.00032508,0.00071315,4.7603e-05,0.00040539,8.491e-05,0.00065933
0.31952,0.00034164,0.00032503,0.00071561,5.0059e-05,0.00040736,8.5927e-05,0.00066312
0.32397,0.0003417,0.00032497,0.00071818,5.2617e-05,0.0004094,8.6993e-05,0.00066707
0.32849,0.00034176,0.00032491,0.00072086,5.5284e-05,0.00041152,8.8111e-05,0.00067118
0.33306,0.00034182,0.00032485,0.00072365,5.8064e-05,0.00041373,8.9283e-05,0.00067546
0.3377,0.00034188,0.00032479,0.00072656,6.0965e-05,0.00041601,9.0514e-05,0.00067992
0.3424,0.00034194,0.00032472,0.0007296,6.3994e-05,0.00041839,9.1807e-05,0.00068456
0.34717,0.00034201,0.00032465,0.00073278,6.7158e-05,0.00042086,9.3167e-05,0.0006894
