#f, DARM, CARM, MICH, PRC, SRC
0.16452,1.611e-16-1.6748e-19i,2.57e-05+0.00023815i,1.4045e-16+2.4058e-22i,1.8764e-16+5.3417e-20i,1.1326e-15+1.1851e-18i
0.16681,1.6131e-16-1.7003e-19i,2.5692e-05+0.00023496i,1.4045e-16+2.4375e-22i,1.8758e-16+5.4161e-20i,1.1321e-15+1.201e-18i
0.16913,1.6152e-16-1.7263e-19i,2.5684e-05+0.00023182i,1.4046e-16+2.4695e-22i,1.8753e-16+5.4915e-20i,1.1316e-15+1.217e-18i
0.17149,1.6174e-16-1.7527e-19i,2.5676e-05+0.00022872i,1.4046e-16+2.5019e-22i,1.8747e-16+5.568e-20i,1.1311e-15+1.2333e-18i
0.17388,1.6196e-16-1.7796e-19i,2.5667e-05+0.00022566i,1.4046e-16+2.5346e-22i,1.874e-16+5.6455e-20i,1.1306e-15+1.2497e-18i
0.1763,1.622e-16-1.807e-19i,2.5658e-05+0.00022264i,1.4046e-16+2.5677e-22i,1.8734e-16+5.724e-20i,1.13e-15+1.2663e-18i
0.17875,1.6244e-16-1.8348e-19i,2.5649e-05+0.00021967i,1.4046e-16+2.6011e-22i,1.8728e-16+5.8037e-20i,1.1295e-15+1.2832e-18i
0.18124,1.6268e-16-1.8632e-19i,2.564e-05+0.00021674i,1.4046e-16+2.6349e-22i,1.8721e-16+5.8845e-20i,1.1289e-15+1.3002e-18i
0.18377,1.6294e-16-1.8921e-19i,2.563e-05+0.00021386i,1.4047e-16+2.669e-22i,1.8714e-16+5.9664e-20i,1.1283e-15+1.3175e-18i
0.18632,1.632e-16-1.9216e-19i,2.562e-05+0.00021101i,1.4047e-16+2.7036e-22i,1.8707e-16+6.0494e-20i,1.1277e-15+1.3349e-18i
0.18892,1.6347e-16-1.9516e-19i,2.5609e-05+0.0002082i,1.4047e-16+2.7384e-22i,1.8699e-16+6.1336e-20i,1.1271e-15+1.3525e-18i
0.19155,1.6375e-16-1.9822e-19i,2.5599e-05+0.00020544i,1.4047e-16+2.7736e-22i,1.8691e-16+6.2189e-20i,1.1264e-15+1.3704e-18i
0.19422,1.6404e-16-2.0133e-19i,2.5588e-05+0.00020271i,1.4047e-16+2.8092e-22i,1.8683e-16+6.3054e-20i,1.1258e-15+1.3884e-18i
0.19692,1.6434e-16-2.0451e-19i,2.5576e-05+0.00020003i,1.4047e-16+2.8451e-22i,1.8675e-16+6.3931e-20i,1.1251e-15+1.4067e-18i
0.19966,1.6465e-16-2.0774e-19i,2.5564e-05+0.00019738i,1.4048e-16+2.8814e-22i,1.8667e-16+6.482e-20i,1.1244e-15+1.4251e-18i
0.20244,1.6496e-16-2.1104e-19i,2.5552e-05+0.00019477i,1.4048e-16+2.918e-22i,1.8658e-16+6.5721e-20i,1.1236e-15+1.4438e-18i
0.20526,1.6529e-16-2.1441e-19i,2.5539e-05+0.0001922i,1.4048e-16+2.9549e-22i,1.8649e-16+6.6634e-20i,1.1229e-15+1.4626e-18i
0.20812,1.6563e-16-2.1784e-19i,2.5527e-05+0.00018966i,1.4048e-16+2.9922e-22i,1.864e-16+6.7561e-20i,1.1221e-15+1.4817e-18i
0.21102,1.6598e-16-2.2134e-19i,2.5513e-05+0.00018716i,1.4049e-16+3.0298e-22i,1.863e-16+6.8499e-20i,1.1213e-15+1.501e-18i
0.21396,1.6634e-16-2.2491e-19i,2.5499e-05+0.0001847i,1.4049e-16+3.0678e-22i,1.862e-16+6.9451e-20i,1.1205e-15+1.5205e-18i
0.21694,1.6671e-16-2.2855e-19i,2.5485e-05+0.00018228i,1.4049e-16+3.1061e-22i,1.861e-16+7.0416e-20i,1.1196e-15+1.5402e-18i
0.21996,1.671e-16-2.3227e-19i,2.547e-05+0.00017989i,1.4049e-16+3.1446e-22i,1.86e-16+7.1393e-20i,1.1187e-15+1.5601e-18i
0.22302,1.6749e-16-2.3607e-19i,2.5455e-05+0.00017753i,1.405e-16+3.1835e-22i,1.8589e-16+7.2384e-20i,1.1178e-15+1.5802e-18i
0.22613,1.679e-16-2.3994e-19i,2.5439e-05+0.00017521i,1.405e-16+3.2227e-22i,1.8577e-16+7.3389e-20i,1.1169e-15+1.6005e-18i
0.22928,1.6833e-16-2.439e-19i,2.5422e-05+0.00017292i,1.405e-16+3.2622e-22i,1.8566e-16+7.4407e-20i,1.1159e-15+1.621e-18i
0.23247,1.6876e-16-2.4794e-19i,2.5406e-05+0.00017067i,1.405e-16+3.302e-22i,1.8554e-16+7.5439e-20i,1.1149e-15+1.6417e-18i
0.23571,1.6922e-16-2.5207e-19i,2.5388e-05+0.00016845i,1.4051e-16+3.342e-22i,1.8541e-16+7.6485e-20i,1.1138e-15+1.6626e-18i
0.23899,1.6968e-16-2.5629e-19i,2.537e-05+0.00016626i,1.4051e-16+3.3823e-22i,1.8529e-16+7.7545e-20i,1.1128e-15+1.6837e-18i
0.24232,1.7017e-16-2.606e-19i,2.5351e-05+0.0001641i,1.4051e-16+3.4228e-22i,1.8515e-16+7.8619e-20i,1.1116e-15+1.705e-18i
0.24569,1.7067e-16-2.65e-19i,2.5331e-05+0.00016198i,1.4052e-16+3.4636e-22i,1.8501e-16+7.9707e-20i,1.1105e-15+1.7265e-18i
0.24911,1.7118e-16-2.6951e-19i,2.5311e-05+0.00015989i,1.4052e-16+3.5046e-22i,1.8487e-16+8.0811e-20i,1.1093e-15+1.7483e-18i
0.25258,1.7172e-16-2.7412e-19i,2.529e-05+0.00015783i,1.4052e-16+3.5458e-22i,1.8473e-16+8.1928e-20i,1.1081e-15+1.7702e-18i
0.2561,1.7227e-16-2.7883e-19i,2.5268e-05+0.0001558i,1.4053e-16+3.5872e-22i,1.8457e-16+8.3061e-20i,1.1068e-15+1.7922e-18i
0.25967,1.7284e-16-2.8366e-19i,2.5246e-05+0.0001538i,1.4053e-16+3.6287e-22i,1.8442e-16+8.4209e-20i,1.1055e-15+1.8145e-18i
0.26328,1.7344e-16-2.886e-19i,2.5222e-05+0.00015183i,1.4053e-16+3.6703e-22i,1.8425e-16+8.5372e-20i,1.1041e-15+1.837e-18i
0.26695,1.7405e-16-2.9365e-19i,2.5198e-05+0.00014989i,1.4054e-16+3.7121e-22i,1.8408e-16+8.655e-20i,1.1027e-15+1.8596e-18i
0.27067,1.7469e-16-2.9883e-19i,2.5173e-05+0.00014798i,1.4054e-16+3.754e-22i,1.8391e-16+8.7743e-20i,1.1013e-15+1.8824e-18i
0.27443,1.7534e-16-3.0414e-19i,2.5147e-05+0.0001461i,1.4055e-16+3.7959e-22i,1.8373e-16+8.8952e-20i,1.0998e-15+1.9054e-18i
0.27826,1.7602e-16-3.0957e-19i,2.5119e-05+0.00014425i,1.4055e-16+3.8379e-22i,1.8354e-16+9.0176e-20i,1.0982e-15+1.9285e-18i
0.28213,1.7673e-16-3.1515e-19i,2.5091e-05+0.00014243i,1.4056e-16+3.8798e-22i,1.8334e-16+9.1417e-20i,1.0966e-15+1.9518e-18i
0.28606,1.7746e-16-3.2086e-19i,2.5061e-05+0.00014064i,1.4056e-16+3.9217e-22i,1.8314e-16+9.2673e-20i,1.0949e-15+1.9752e-18i
0.29004,1.7822e-16-3.2672e-19i,2.5031e-05+0.00013887i,1.4057e-16+3.9635e-22i,1.8293e-16+9.3945e-20i,1.0932e-15+1.9988e-18i
0.29408,1.7901e-16-3.3274e-19i,2.4999e-05+0.00013713i,1.4057e-16+4.0052e-22i,1.8271e-16+9.5233e-20i,1.0914e-15+2.0225e-18i
0.29818,1.7983e-16-3.3892e-19i,2.4965e-05+0.00013542i,1.4058e-16+4.0468e-22i,1.8249e-16+9.6537e-20i,1.0895e-15+2.0464e-18i
0.30233,1.8067e-16-3.4526e-19i,2.4931e-05+0.00013373i,1.4058e-16+4.0881e-22i,1.8226e-16+9.7857e-20i,1.0876e-15+2.0703e-18i
0.30654,1.8155e-16-3.5178e-19i,2.4894e-05+0.00013207i,1.4059e-16+4.1291e-22i,1.8201e-16+9.9194e-20i,1.0856e-15+2.0944e-18i
0.31081,1.8246e-16-3.5847e-19i,2.4857e-05+0.00013044i,1.406e-16+4.1698e-22i,1.8176e-16+1.0055e-19i,1.0835e-15+2.1186e-18i
0.31514,1.8341e-16-3.6536e-19i,2.4817e-05+0.00012884i,1.406e-16+4.2101e-22i,1.815e-16+1.0192e-19i,1.0813e-15+2.1428e-18i
0.31952,1.844e-16-3.7244e-19i,2.4776e-05+0.00012726i,1.4061e-16+4.2499e-22i,1.8122e-16+1.033e-19i,1.0791e-15+2.1671e-18i
0.32397,1.8542e-16-3.7973e-19i,2.4733e-05+0.0001257i,1.4062e-16+4.2892e-22i,1.8094e-16+1.047e-19i,1.0768e-15+2.1915e-18i
0.32849,1.8649e-16-3.8723e-19i,2.4688e-05+0.00012417i,1.4063e-16+4.3278e-22i,1.8065e-16+1.0612e-19i,1.0743e-15+2.2159e-18i
0.33306,1.8759e-16-3.9497e-19i,2.4641e-05+0.00012267i,1.4063e-16+4.3657e-22i,1.8034e-16+1.0755e-19i,1.0718e-15+2.2403e-18i
0.3377,1.8874e-16-4.0293e-19i,2.4591e-05+0.00012119i,1.4064e-16+4.4028e-22i,1.8002e-16+1.09e-19i,1.0692e-15+2.2648e-18i
0.3424,1.8994e-16-4.1115e-19i,2.4539e-05+0.00011973i,1.4065e-16+4.439e-22i,1.7969e-16+1.1047e-19i,1.0665e-15+2.2892e-18i
0.34717,1.9119e-16-4.1962e-19i,2.4485e-05+0.0001183i,1.4066e-16+4.4741e-22i,1.7934e-16+1.1195e-19i,1.0637e-15+2.3136e-18i
0.352,1.9249e-16-4.2837e-19i,2.4428e-05+0.00011689i,1.4067e-16+4.5079e-22i,1.7898e-16+1.1344e-19i,1.0607e-15+2.3379e-18i
0.3569,1.9385e-16-4.3741e-19i,2.4368e-05+0.00011551i,1.4068e-16+4.5405e-22i,1.786e-16+1.1495e-19i,1.0576e-15+2.3621e-18i
0.36187,1.9526e-16-4.4674e-19i,2.4305e-05+0.00011415i,1.4069e-16+4.5716e-22i,1.7821e-16+1.1648e-19i,1.0544e-15+2.3863e-18i
0.36691,1.9674e-16-4.564e-19i,2.4238e-05+0.00011281i,1.407e-16+4.601e-22i,1.778e-16+1.1802e-19i,1.0511e-15+2.4102e-18i
0.37202,1.9828e-16-4.6639e-19i,2.4168e-05+0.0001115i,1.4071e-16+4.6285e-22i,1.7737e-16+1.1957e-19i,1.0476e-15+2.434e-18i
0.3772,1.9989e-16-4.7674e-19i,2.4094e-05+0.0001102i,1.4072e-16+4.654e-22i,1.7692e-16+1.2114e-19i,1.044e-15+2.4577e-18i
0.38246,2.0157e-16-4.8746e-19i,2.4016e-05+0.00010893i,1.4073e-16+4.6772e-22i,1.7645e-16+1.2272e-19i,1.0402e-15+2.481e-18i
0.38778,2.0333e-16-4.9858e-19i,2.3933e-05+0.00010768i,1.4075e-16+4.6978e-22i,1.7596e-16+1.2431e-19i,1.0363e-15+2.5041e-18i
0.39318,2.0517e-16-5.1012e-19i,2.3846e-05+0.00010646i,1.4076e-16+4.7156e-22i,1.7544e-16+1.2591e-19i,1.0321e-15+2.5268e-18i
0.39866,2.071e-16-5.2211e-19i,2.3754e-05+0.00010525i,1.4078e-16+4.7302e-22i,1.749e-16+1.2753e-19i,1.0278e-15+2.5492e-18i
0.40421,2.0912e-16-5.3456e-19i,2.3656e-05+0.00010406i,1.4079e-16+4.7413e-22i,1.7434e-16+1.2915e-19i,1.0233e-15+2.5711e-18i
0.40984,2.1124e-16-5.4752e-19i,2.3551e-05+0.0001029i,1.4081e-16+4.7485e-22i,1.7374e-16+1.3078e-19i,1.0186e-15+2.5925e-18i
0.41555,2.1347e-16-5.6102e-19i,2.3441e-05+0.00010175i,1.4083e-16+4.7514e-22i,1.7312e-16+1.3242e-19i,1.0136e-15+2.6134e-18i
0.42133,2.158e-16-5.7509e-19i,2.3323e-05+0.00010062i,1.4084e-16+4.7494e-22i,1.7247e-16+1.3406e-19i,1.0084e-15+2.6337e-18i
0.4272,2.1826e-16-5.8976e-19i,2.3197e-05+9.951e-05i,1.4086e-16+4.7421e-22i,1.7178e-16+1.357e-19i,1.0029e-15+2.6532e-18i
0.43315,2.2084e-16-6.0509e-19i,2.3063e-05+9.8417e-05i,1.4088e-16+4.7288e-22i,1.7105e-16+1.3735e-19i,9.9719e-16+2.672e-18i
0.43918,2.2356e-16-6.2112e-19i,2.292e-05+9.7342e-05i,1.4091e-16+4.7088e-22i,1.7028e-16+1.3899e-19i,9.9115e-16+2.6899e-18i
0.4453,2.2643e-16-6.3789e-19i,2.2767e-05+9.6281e-05i,1.4093e-16+4.6813e-22i,1.6947e-16+1.4063e-19i,9.8481e-16+2.7068e-18i
0.4515,2.2946e-16-6.5547e-19i,2.2603e-05+9.5236e-05i,1.4096e-16+4.6455e-22i,1.6862e-16+1.4226e-19i,9.7813e-16+2.7227e-18i
0.45778,2.3266e-16-6.7392e-19i,2.2427e-05+9.4204e-05i,1.4098e-16+4.6002e-22i,1.6771e-16+1.4389e-19i,9.7108e-16+2.7374e-18i
0.46416,2.3604e-16-6.9331e-19i,2.2238e-05+9.3185e-05i,1.4101e-16+4.5444e-22i,1.6676e-16+1.4549e-19i,9.6365e-16+2.7507e-18i
0.47062,2.3963e-16-7.1371e-19i,2.2034e-05+9.2176e-05i,1.4104e-16+4.4767e-22i,1.6574e-16+1.4708e-19i,9.558e-16+2.7626e-18i
0.47718,2.4343e-16-7.3521e-19i,2.1815e-05+9.1176e-05i,1.4108e-16+4.3954e-22i,1.6466e-16+1.4865e-19i,9.475e-16+2.7729e-18i
0.48382,2.4746e-16-7.579e-19i,2.1578e-05+9.0183e-05i,1.4111e-16+4.2989e-22i,1.6351e-16+1.5019e-19i,9.387e-16+2.7813e-18i
0.49056,2.5176e-16-7.8189e-19i,2.1323e-05+8.9194e-05i,1.4115e-16+4.185e-22i,1.6229e-16+1.5169e-19i,9.2938e-16+2.7878e-18i
0.49739,2.5633e-16-8.0731e-19i,2.1046e-05+8.8205e-05i,1.4119e-16+4.0511e-22i,1.6099e-16+1.5314e-19i,9.1948e-16+2.792e-18i
0.50432,2.6121e-16-8.3428e-19i,2.0745e-05+8.7215e-05i,1.4124e-16+3.8944e-22i,1.5959e-16+1.5454e-19i,9.0896e-16+2.7938e-18i
