# Transfer Function (TF) from vertical acceleration ground motion [m/s/s] to vertical TM motion [m] for ETMY suspension which has stucked GAS filters at F1, F2, F3.
# This TF is calculated by K.Miyo with "SuspensionModel/release/0.4". (https://github.com/gw-vis/SuspensionModel/tree/release/0.4)
# 
# Frequency[Hz], Magnitude[m/(m/s/s)], Phase[degree]
0.082414,4.2756,179.8
0.083176,4.2123,179.8
0.083946,4.1503,179.8
0.084723,4.0894,179.79
0.085507,4.0298,179.79
0.086298,3.9714,179.79
0.087096,3.9142,179.78
0.087902,3.8581,179.78
0.088716,3.8031,179.78
0.089536,3.7493,179.77
0.090365,3.6966,179.77
0.091201,3.6449,179.77
0.092045,3.5943,179.76
0.092897,3.5448,179.76
0.093756,3.4964,179.75
0.094624,3.4489,179.75
0.095499,3.4025,179.75
0.096383,3.357,179.74
0.097275,3.3126,179.74
0.098175,3.2691,179.73
0.099083,3.2266,179.73
0.1,3.185,179.73
0.10093,3.1443,179.72
0.10186,3.1046,179.72
0.1028,3.0658,179.71
0.10375,3.0279,179.71
0.10471,2.9909,179.7
0.10568,2.9548,179.7
0.10666,2.9196,179.69
0.10765,2.8852,179.69
0.10864,2.8517,179.68
0.10965,2.819,179.67
0.11066,2.7872,179.67
0.11169,2.7562,179.66
0.11272,2.7261,179.65
0.11376,2.6968,179.65
0.11482,2.6683,179.64
0.11588,2.6407,179.63
0.11695,2.6139,179.63
0.11803,2.5879,179.62
0.11912,2.5627,179.61
0.12023,2.5384,179.6
0.12134,2.5148,179.6
0.12246,2.4921,179.59
0.12359,2.4702,179.58
0.12474,2.4492,179.57
0.12589,2.429,179.56
0.12706,2.4096,179.55
0.12823,2.3911,179.54
0.12942,2.3734,179.53
0.13062,2.3566,179.52
0.13183,2.3407,179.51
0.13305,2.3257,179.5
0.13428,2.3116,179.49
0.13552,2.2984,179.47
0.13677,2.2862,179.46
0.13804,2.2749,179.45
0.13932,2.2647,179.43
0.1406,2.2555,179.42
0.14191,2.2473,179.4
0.14322,2.2402,179.39
0.14454,2.2343,179.37
0.14588,2.2295,179.35
0.14723,2.2259,179.33
0.14859,2.2237,179.32
0.14997,2.2228,179.3
0.15136,2.2233,179.27
0.15276,2.2253,179.25
0.15417,2.2288,179.23
0.1556,2.2341,179.2
0.15704,2.2411,179.18
0.15849,2.25,179.15
0.15996,2.261,179.12
0.16144,2.2741,179.09
0.16293,2.2897,179.06
0.16444,2.3078,179.02
0.16596,2.3288,178.99
0.16749,2.3528,178.95
0.16904,2.3802,178.9
0.17061,2.4114,178.86
0.17219,2.4468,178.81
0.17378,2.4868,178.76
0.17539,2.5321,178.7
0.17701,2.5834,178.63
0.17865,2.6414,178.56
0.1803,2.7071,178.49
0.18197,2.7818,178.4
0.18365,2.867,178.31
0.18535,2.9645,178.2
0.18707,3.0767,178.09
0.1888,3.2064,177.95
0.19055,3.3577,177.8
0.19231,3.5355,177.62
0.19409,3.7467,177.41
0.19588,4.0008,177.17
0.1977,4.3112,176.87
0.19953,4.6977,176.5
0.20137,5.1905,176.04
0.20324,5.8382,175.44
0.20512,6.7245,174.61
0.20701,8.006,173.43
0.20893,10.013,171.58
0.21086,13.577,168.28
0.21281,21.461,160.84
0.21478,47.018,132.69
0.21677,43.263,43.696
0.21878,19.207,18.248
0.2208,11.7,11.223
0.22284,8.255,8.0502
0.22491,6.298,6.2512
0.22699,5.0414,5.093
0.22909,4.1685,4.2843
0.23121,3.5281,3.6867
0.23335,3.039,3.2264
0.2355,2.6539,2.8602
0.23768,2.3433,2.5614
0.23988,2.0878,2.3122
0.2421,1.8742,2.1009
0.24434,1.6933,1.9188
0.2466,1.5383,1.76
0.24889,1.4042,1.6198
0.25119,1.2871,1.4947
0.25351,1.1841,1.3822
0.25586,1.093,1.28
0.25823,1.0119,1.1866
0.26062,0.93936,1.1005
0.26303,0.8741,1.0206
0.26546,0.81517,0.94609
0.26792,0.76176,0.87614
0.2704,0.71318,0.81011
0.2729,0.66885,0.74746
0.27542,0.62828,0.68771
0.27797,0.59104,0.63047
0.28054,0.55679,0.57537
0.28314,0.5252,0.52211
0.28576,0.49601,0.47041
0.2884,0.46898,0.42003
0.29107,0.44391,0.37075
0.29376,0.42061,0.32237
0.29648,0.39892,0.27471
0.29923,0.3787,0.2276
0.302,0.35982,0.1809
0.30479,0.34218,0.13445
0.30761,0.32566,0.088131
0.31046,0.31018,0.041805
0.31333,0.29566,-0.0046454
0.31623,0.28202,-0.051336
0.31915,0.2692,-0.09838
0.32211,0.25714,-0.14589
0.32509,0.24577,-0.19396
0.3281,0.23506,-0.24272
0.33113,0.22495,-0.29226
0.3342,0.21541,-0.34268
0.33729,0.20639,-0.3941
0.34041,0.19786,-0.44662
0.34356,0.1898,-0.50036
0.34674,0.18216,-0.55542
0.34995,0.17492,-0.61191
0.35318,0.16807,-0.66997
0.35645,0.16157,-0.72971
0.35975,0.1554,-0.79126
0.36308,0.14954,-0.85475
0.36644,0.14398,-0.92033
0.36983,0.1387,-0.98813
0.37325,0.13368,-1.0583
0.3767,0.12891,-1.1311
0.38019,0.12437,-1.2065
0.38371,0.12005,-1.2849
0.38726,0.11595,-1.3664
0.39084,0.11204,-1.4511
0.39446,0.10832,-1.5394
